NM_MUNICIP,CD_GEOCMU,CONT
ALTA FLORESTA D'OESTE,1100015,1
ARIQUEMES,1100023,2
CABIXI,1100031,3
CACOAL,1100049,4
CEREJEIRAS,1100056,5
COLORADO DO OESTE,1100064,6
CORUMBIARA,1100072,7
COSTA MARQUES,1100080,8
ESPIGÃO D'OESTE,1100098,9
GUAJARÁ-MIRIM,1100106,10
JARU,1100114,11
JI-PARANÁ,1100122,12
MACHADINHO D'OESTE,1100130,13
NOVA BRASILÂNDIA D'OESTE,1100148,14
OURO PRETO DO OESTE,1100155,15
PIMENTA BUENO,1100189,16
PORTO VELHO,1100205,17
PRESIDENTE MÉDICI,1100254,18
RIO CRESPO,1100262,19
ROLIM DE MOURA,1100288,20
SANTA LUZIA D'OESTE,1100296,21
VILHENA,1100304,22
SÃO MIGUEL DO GUAPORÉ,1100320,23
NOVA MAMORÉ,1100338,24
ALVORADA D'OESTE,1100346,25
ALTO ALEGRE DOS PARECIS,1100379,26
ALTO PARAÍSO,1100403,27
BURITIS,1100452,28
NOVO HORIZONTE DO OESTE,1100502,29
CACAULÂNDIA,1100601,30
CAMPO NOVO DE RONDÔNIA,1100700,31
CANDEIAS DO JAMARI,1100809,32
CASTANHEIRAS,1100908,33
CHUPINGUAIA,1100924,34
CUJUBIM,1100940,35
GOVERNADOR JORGE TEIXEIRA,1101005,36
ITAPUÃ DO OESTE,1101104,37
MINISTRO ANDREAZZA,1101203,38
MIRANTE DA SERRA,1101302,39
MONTE NEGRO,1101401,40
NOVA UNIÃO,1101435,41
PARECIS,1101450,42
PIMENTEIRAS DO OESTE,1101468,43
PRIMAVERA DE RONDÔNIA,1101476,44
SÃO FELIPE D'OESTE,1101484,45
SÃO FRANCISCO DO GUAPORÉ,1101492,46
SERINGUEIRAS,1101500,47
TEIXEIRÓPOLIS,1101559,48
THEOBROMA,1101609,49
URUPÁ,1101708,50
VALE DO ANARI,1101757,51
VALE DO PARAÍSO,1101807,52
ACRELÂNDIA,1200013,53
ASSIS BRASIL,1200054,54
BRASILÉIA,1200104,55
BUJARI,1200138,56
CAPIXABA,1200179,57
CRUZEIRO DO SUL,1200203,58
